,City,Country,Lat,Lon,Humidity,Pressure,Temp,Cloudiness,Wind Speed
0,Paraná,AR,-31.73,-60.52,30,1011,19.65,0,3.59
1,Raja,SS,8.46,25.68,94,1012,22.29,100,1.37
2,Punta Arenas,CL,-53.15,-70.92,56,1011,5.0,20,12.3
3,Hermanus,ZA,-34.42,19.23,91,1021,8.33,24,3.09
4,Ushuaia,AR,-54.8,-68.3,80,1005,2.0,40,9.3
5,Shelburne,CA,44.08,-80.2,49,1022,19.25,20,6.7
6,Russell,US,32.35,-85.2,74,1017,26.52,90,4.1
7,Bluff,NZ,-46.6,168.33,79,1005,6.67,100,5.81
8,Rikitea,PF,-23.12,-134.97,72,1023,23.07,1,1.61
9,Hong Kong,HK,22.29,114.16,93,1007,27.6,3,2.68
10,Pa Sang,TH,18.53,98.94,88,1008,23.88,40,2.6
11,Codrington,AU,-38.27,141.97,88,1019,6.52,100,3.82
12,Saint George,US,37.1,-113.58,12,1021,32.3,1,1.88
